Localidadde @ gentilico; gentilico,,,,Fonte: 
 Angra dos Reis @ angrense,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Rio_de_Janeiro
 Aperibé@aperibeense,,,,
 Araruama@araruamense,,,,
 Areal@arealense,,,,
 Armação dos Búzios@buziano,,,,
 Arraial do Cabo@arraialense;  cabista,,,,
 Barra do Piraí@barrense,,,,
 Barra Mansa@barra-mansense,,,,
 Belford Roxo@belford-roxense,,,,
 Bom Jardim @bom-jardinense,,,,
 Bom Jesus do Itabapoana@bonjesuense,,,,
 Cabo Frio  cabo-friense,,,,
 Cachoeiras de Macacu@cachoeirense,,,,
 Cambuci@cambuciense,,,,
 Campos dos Goytacazes@campista,,,,
 Cantagalo  @cantagalense,,,,
 Carapebus@carapebuense,,,,
 Cardoso Moreira@cardosense,,,,
 Carmo @carmense,,,,
 Casimiro de Abreu@casimirense,,,,
 Comendador Levy Gasparian@gasparianense,,,,
 Conceição de Macabu@macabuense,,,,
 Cordeiro@cordeirense,,,,
 Duas Barras  bibarrense,,,,
 Duque de Caxias @  caxiense;  duque-caxiense,,,,
 Engenheiro Paulo de Frontin@frontinense,,,,
 Guapimirim@guapimirinense,,,,
 Iguaba Grande@iguabense,,,,
 Itaboraí@itaboraiense,,,,
 Itaguaí @ itaguaiense,,,,
 Italva@italvense,,,,
 Itaocara@itaocarense,,,,
 Itaperuna@itaperunense,,,,
 Itatiaia|Itatiaia@itatiaiense,,,,
 Japeri@japeriense,,,,
 Laje do Muriaé@lajense,,,,
 Macaé @  macaense,,,,
 Macuco @macuquense,,,,
 Magé@majeense,,,,
 Mangaratiba@mangaratibense,,,,
 Maricá@maricaense,,,,
 Mendes@mendense,,,,
 Mesquita @ mesquitense,,,,
 Miguel Pereira@miguelense,,,,
 Miracema@miracemense,,,,
 Natividade @natividadense,,,,
 Nilópolis@nilopolitano,,,,
 Niterói  @ niteroiense,,,,
 Nova Friburgo @ friburguense,,,,
 Nova Iguaçu @ iguaçuano,,,,
 Paracambi@paracambiense,,,,
 Paraíba do Sul@sul-paraibano,,,,
 Paraty@paratiense,,,,
 Paty do Alferes@patiense,,,,
 Petrópolis @ petropolitano,,,,
 Pinheiral@pinheralense,,,,
 Piraí@piraiense,,,,
 Porciúncula@porciunculense,,,,
 Porto Real@porto-realense,,,,
 Quatis@quatiense,,,,
 Queimados@queimadense,,,,
 Quissamã@quissamense,,,,
 Resende @resendense,,,,
 Rio Claro@rio-clarense,,,,
 Rio Bonito@rio-bonitense,,,,
 Rio das Flores@rio-florense,,,,
 Rio das Ostras@rio-ostrense;  pérola,,,,
Rio de Janeiro @ carioca;  guanabarino,,,,
 Santa Maria Madalena @madalenense,,,,
 Santo Antônio de Pádua @paduano,,,,
 São Fidélis@fidelense,,,,
 São Francisco de Itabapoana@são-franciscano,,,,
 São Gonçalo@gonçalense,,,,
 São João da Barra@sanjoanense,,,,
 São João de Meriti  meritiense,,,,
 São José de Ubá@ubaense,,,,
 São José do Vale do Rio Preto@rio-pretano,,,,
 São Pedro da Aldeia@aldeense,,,,
 São Sebastião do Alto@altense,,,,
 Sapucaia @sapucaiense,,,,
 Saquarema@saquaremense,,,,
 Seropédica@seropedicense,,,,
 Silva Jardim@silva-jardinense,,,,
 Sumidouro @sumidourense,,,,
 Tanguá@tanguaense,,,,
 Teresópolis@teresopolitano,,,,
 Trajano de Morais@trajanense,,,,
 Três Rios  @ trirriense,,,,
 Valença @valenciano,,,,
 Varre-Sai@varressaiense,,,,
 Vassouras@vassourense,,,,
 Volta Redonda@volta-redondense,,,,
,,,,
Rio Grande do Norte,,,,
  Areia Branca @areia-branquense,,,,
  Assu@açuense,,,,
  Caicó@caicoense,,,,
  Ceará-Mirim@ceará-mirinense,,,,
  Extremoz@extremozense,,,,
  Jardim de Angicos@jardinense,,,,
  João Câmara@camaraense,,,,
  Macaíba@macaibense,,,,
  Martins @martinense,,,,
  Mossoró@moçoroense,,,,
"Natal  @ natalense, papa-jerimum",,,,
  Nísia Floresta@nísia-florestense,,,,
Parnamirim@parnamirinense,,,,
  Passa-e-Fica@passa-fiquense,,,,
  Pau dos Ferros@pau-ferrense,,,,
Sítio Novo@sítio-novense,,,,
  Umarizal@umarizalense,,,,
  Upanema@upanemense,,,,
,,,,
Rio Grande do Sul,,,,
  Ajuricaba@ajuricabense,,,,
Alegrete@alegretense,,,,
Alto Alegre  @ alto-alegrense,,,,
Alvorada@alvoradense,,,,
  Antônio Prado@pradense,,,,
  Arroio do Tigre@arroio-tigrense,,,,
  Bagé  @ bajeense,,,,
Bento Gonçalves@bento-gonçalvense,,,,
  Boa Vista das Missões@boa-vistense,,,,
  Butiá@butiaense,,,,
  Caçapava@caçapavano,,,,
Cachoeirinha  @ cachoeirinhense,,,,
  Camaquã@camaquense,,,,
  Campo Bom  @ campo-bonense,,,,
  Candiota@candiotense,,,,
  Canoas  @ canoense,,,,
  Carazinho  @ carazinhense,,,,
  Caxias do Sul  @ caxiense,,,,
  Cerro Largo@cerro-larguense,,,,
  Charqueadas@charqueadense,,,,
Cruz Alta@cruz-altense,,,,
  Erechim  @ erechinense,,,,
  Estância Velha  @ estanciense,,,,
  Esteio  @ esteiense,,,,
  Farroupilha@farroupilhense,,,,
  Frederico Westphalen@frederiquense,,,,
  Garibaldi@garibaldense,,,,
  Gramado@gramadense,,,,
  Gravataí@gravataiense,,,,
  Guaíba  @ guaibense,,,,
  Horizontina@horizontinense,,,,
  Igrejinha@igrejinhense,,,,
  Ijuí@ijuiense,,,,
  Ivoti@ivotiense,,,,
  Itaqui@itaquiense,,,,
Lajeado@lajeadense,,,,
  Manoel Viana@vianense,,,,
  Montenegro@montenegrino,,,,
  Nova Alvorada@nova-alvoradense,,,,
  Nova Prata@pratense,,,,
  Novo Hamburgo  @ hamburguense,,,,
  Novo Machado@novo-machadense,,,,
  Panambi@panambiense,,,,
  Passo Fundo  @ passo-fundense,,,,
  Pelotas  @ pelotense,,,,
  Poço das Antas@poço-antense,,,,
Porto Alegre  @ porto-alegrense,,,,
  Rio Grande@rio-grandino,,,,
  Rio Pardo@rio-pardense,,,,
  Roque Gonzales@roque-gonzalense,,,,
  Santana do Livramento  @ santanense,,,,
  Santa Cruz do Sul  @ santa-cruzense,,,,
Santa Maria  @ santa-mariense,,,,
  Santa Vitória do Palmar@santa-vitoriense; mergulhão,,,,
Santiago@santiaguense,,,,
  Santo Ângelo@santo-angelense,,,,
  Santo Augusto@santo-augustense,,,,
  São Borja@são-borjense,,,,
São Francisco de Assis@assisense,,,,
  São Leopoldo  @ leopoldense,,,,
  São Lourenço do Sul@lourenciano,,,,
  Sapiranga  @ sapiranguense,,,,
  Sapucaia do Sul@sapucaiense,,,,
  Seberi@seberiense,,,,
  Taquara@taquarense,,,,
Torres@torrense,,,,
  Três Coroas@três-coroense,,,,
Triunfo@triunfense,,,,
  Unistalda@unistaldense,,,,
  Uruguaiana@uruguaianense,,,,
  Vacaria@vacariense,,,,
  Veranópolis@veranense,,,,
  Viamão  @ viamonense,,,,
"  Vila Maria@vila-mariense, mariense",,,,
,,,,
Rondônia,,,,
  Ariquemes@ariquemense,,,,
  Cacoal@cacoalense,,,,
  Espigão d'Oeste@espigoense,,,,
  Governador Jorge Teixeira@jorge-teixerense,,,,
  Guajará-Mirim@guajara-mirense,,,,
  Jaru@jaruense,,,,
  Ji-Paraná@ ji-paranaense,,,,
  Ouro Preto do Oeste@ouro-pretense,,,,
  Pimenta Bueno@pimentense,,,,
Porto Velho@ porto-velhense,,,,
  Rolim de Moura@rolim-mourense,,,,
  São Miguel do Guaporé  @ miguelense,,,,
  Theobroma@teobromense,,,,
  Vilhena@vilhenense,,,,
,,,,
Roraima,,,,
Alto Alegre  @ alto-alegrense,,,,
  Amajari@amajariense,,,,
Boa Vista  @ boa-vistense,,,,
  Caracaraí@caracaraiense,,,,
  Caroebe@caroebense,,,,
Normandia@normandiense,,,,
  Pacaraima@pacaraimense,,,,
