Localidade@gentílico; gentilico,,,,Fonte:
 Água Branca @ água-branquense,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_da_Para%C3%ADba
 Aguiar @ aguiaense,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Brasil
 Alagoa Grande @ alagoa-grandense,,,,
 Alagoa Nova @alagoa-novense,,,,
 Alagoinha @ alagoinhense,,,,
 Alcantil@ alcantilense,,,,
 Algodão de Jandaíra @ algodoense,,,,
 Alhandra @ alhandrense,,,,
 Amparo  @ amparense,,,,
 Aparecida  @ aparecidense,,,,
 Araçagi @ araçajiense,,,,
 Arara ararense,,,,
 Araruna  @ararunense,,,,
 Areia  @areiense,,,,
 Areia de Baraúnas@ baraunense,,,,
 Areial@ areialense,,,,
 Aroeiras@ aroeirense,,,,
 Baía da Traição@ baianense,,,,
 Bananeiras@bananeirense,,,,
 Baraúna  @baraunense,,,,
 Bayeux@ bayeusense,,,,
 Belém  @belenense,,,,
 Borborema  @ borboremense,,,,
 Brejo do Cruz@ brejo-cruzense,,,,
 Brejo dos Santos@ brejo-santense,,,,
 Cabaceiras@cabaceirense,,,,
 Cacimba de Areia@ cacimbense,,,,
 Cacimba de Dentro@ cacimbense,,,,
 Cabedelo@cabedelense,,,,
 Caiçara @caiçarense,,,,
 Cajazeiras@cajazeirense,,,,
 Caldas Brandão@ caldas-brandense,,,,
 Camalaú@camalauense,,,,
 Campina Grande@campinense,,,,
 Carrapateira@carrapateirense,,,,
 Casserengue@cacerenguense,,,,
 Catingueira@ catingueirense,,,,
 Catolé do Rocha@ catoleense,,,,
 Conceição @ conceiçãoense,,,,
 Condado  @condadense,,,,
 Congo  @ congoense,,,,
 Coremas@coremense,,,,
 Coxixola@ coxixolense,,,,
 Cruz do Espírito Santo@ espírito-santense,,,,
 Cubati@cubatiense,,,,
 Cuité  @cuiteense,,,,
 Curral Velho@ curral-velhense,,,,
 Diamante @diamantense,,,,
 Emas  @ emense,,,,
 Esperança  @esperancense,,,,
 Fagundes  @fagundense,,,,
 Gado Bravo@gado-bravense,,,,
 Guarabira@guarabirense,,,,
 Gurinhém@gurinhense,,,,
 Ibiara@ibiarense,,,,
 Igaracy@ igaraciense,,,,
 Imaculada@imaculadense,,,,
 Ingá  @ ingaense,,,,
 Itaporanga  @ itaporanguense,,,,
 Itapororoca@ itapororoquense,,,,
 Itatuba@itatubense,,,,
João Pessoa @ pessoense,,,,
 Lagoa  @lagoense,,,,
 Lagoa Seca  @lagoa-sequense,,,,
 Malta  @maltense,,,,
 Mamanguape@mamanguapense,,,,
 Mari  @mariense,,,,
 Massaranduba  @ maçarandubense,,,,
 Mataraca@mataraquense,,,,
 Matinhas@ matinhense,,,,
 Mato Grosso  @mato-grossense,,,,
 Matureia@ matureense,,,,
 Monteiro@ monteirense,,,,
 Natuba@ natubense,,,,
 Nova Floresta@nova-florestense,,,,
 Nova Olinda  @nova-olindense,,,,
 Nova Palmeira @ nova-palmeirense,,,,
 Parari@parariense,,,,
 Patos@patoense ou patense,,,,
 Paulista @ paulistense,,,,
 Piancó@piancoense,,,,
 Picuí@picuiense,,,,
 Princesa Isabel @ princesense,,,,
 Pocinhos@pocinhense,,,,
 Pombal  @pombalense,,,,
 Remígio@remigiense,,,,
 Salgado de São Félix@ salgadense,,,,
 Santa Cecília @santa-ceciliense,,,,
 Santa Rita  @santa-ritense,,,,
 Santana dos Garrotes@santanense,,,,
 São Sebastião de Lagoa de Roça@ lagoa-rocense,,,,
 Sapé@sapeense,,,,
 Serra Branca@serra-branquense,,,,
 Serra Grande@serra-grandense,,,,
 Solânea@solaneense,,,,
 Sousa @sousense,,,,
 Serraria  @serrariense,,,,
 Taperoá @taperoaense,,,,
 Teixeira @teixeirense,,,,
  Uiraúna@uiraunense,,,,
,,,,
Sergipe,,,,
Aracaju @ aracajuano; aracajuense,,,,
Estância@estanciano,,,,
Itabaiana@itabaianense,,,,
Itaporanga d'Ajuda@itaporanguense,,,,
Japoatã@japoatãense,,,,
Lagarto@lagartense,,,,
Laranjeiras@laranjeirense,,,,
Neópolis@neopolitano,,,,
Nossa Senhora das Dores@dorense,,,,
,,,,
Tocantins,,,,
Abreulândia@abreulandense,,,,
Aguiarnópolis@aguiarnopolense,,,,
Aliança do Tocantins@aliancense,,,,
Almas@almense,,,,
Alvorada@alvoradense,,,,
Ananás@ananaense,,,,
Angico@angicoense; angiquense,,,,
Aparecida do Rio Negro@aparecidense,,,,
Aragominas@aragominense,,,,
Araguacema@araguacemense,,,,
Araguaçu@araguaçuense,,,,
Araguaína@araguainense,,,,
Araguanã@araguanãense,,,,
Araguatins@araguatinense,,,,
Arapoema@arapoemense,,,,
Arraias@arraiano,,,,
Augustinópolis@augustinopolino,,,,
Aurora do Tocantins@aurorense,,,,
Axixá do Tocantins@axixaense,,,,
Darcinópolis@darcinopolino,,,,
Dianópolis@dianopolino; dianopolitano,,,,
Divinópolis do Tocantins@divinopolino; divinopolitano,,,,
Dois Irmãos do Tocantins@dois-irmanense,,,,
Dueré@duereense,,,,
Esperantina@esperantinense,,,,
Fátima@fatimense,,,,
Figueirópolis@figueiropolense; figueiropolino,,,,
Filadélfia@filadelfiense,,,,
Formoso do Araguaia@formosense,,,,
Gurupi@gurupiense,,,,
Itacajá@itacajense,,,,
Miracema do Tocantins@miracemense,,,,
Palmas@ palmense,,,,
Palmeirópolis@palmeiropolitano,,,,
Paraíso do Tocantins@paraisense,,,,
Pedro Afonso @pedro-afonsino,,,,
Porto Nacional@portuense,,,,
Taguatinga@taguatinguense,,,,
